decision_season,fg_id,buy_season,keeper_salary,years_control_left,kept,rp_prior,PA_prior,IP_prior,SV_prior,role,pos_group,birth_year,played_prior,age,is_pit,name,rp_realised,played,rebuy_price,value_realised,value_ex_ante,surplus_realised,surplus_ex_ante,right_call_realised,right_call_ex_ante
2023,18363,2022,9,2,0,4.357066883977746,407.0,0.0,0.0,HIT,OF,1997.0,1,26.0,0,Victor Robles,1.6629196924337415,1,4.0,0.0,0.0,9.0,9.0,1,1
2023,13774,2022,5,2,1,3.003081018385702,0.0,75.66666666666667,1.0,PIT,SP,1994.0,1,29.0,1,Zach Eflin,14.273946457546522,1,,63.22028341826574,0.0,58.22028341826574,-5.0,1,0
2023,13301,2022,27,2,0,5.516527398668872,565.0,0.0,0.0,HIT,UNKNOWN,1990.0,1,33.0,0,Max Muncy,8.419229536392166,1,20.0,25.0382996870892,6.1081059148598245,1.9617003129108,20.891894085140176,1,1
2024,24064,2023,10,2,0,7.129153532234867,615.0,0.0,0.0,HIT,UNKNOWN,2001.0,1,23.0,0,Ezequiel Tovar,7.5951489926995714,1,3.0,19.663995457492753,16.624970457671356,-9.663995457492753,-6.624970457671356,0,0
2024,14344,2023,30,2,1,14.769496656342008,720.0,0.0,0.0,HIT,UNKNOWN,1994.0,1,30.0,0,Matt Olson,7.1534309756175976,1,,16.783297659610813,66.45205190224223,-13.216702340389187,36.45205190224223,0,1
2024,19470,2023,27,2,0,6.694094729664473,528.0,0.0,0.0,HIT,OF,1995.0,1,29.0,0,Tommy Edman,1.8472895196006343,1,7.0,0.0,13.787701236024217,27.0,13.212298763975783,1,1
2024,21524,2023,3,2,1,0.2039229178029488,95.0,0.0,0.0,HIT,C,1996.0,1,28.0,0,Joey Bart,3.59282341838594,1,,0.0,0.0,-3.0,-3.0,0,0
2024,9241,2023,28,2,0,4.20093891969061,341.0,0.0,0.0,HIT,OF,1988.0,1,36.0,0,Starling Marte,4.323047671230624,1,1.0,0.0,0.0,28.0,28.0,1,1
2024,9777,2023,36,2,0,8.348523280032568,612.0,0.0,0.0,HIT,CI,1991.0,1,33.0,0,Nolan Arenado,6.074060397213206,1,12.0,9.744099963196595,24.577183433925885,26.255900036803403,11.422816566074115,1,1
2024,31838,2023,22,2,0,12.226538569101386,0.0,166.33333333333331,0.0,PIT,SP,1993.0,1,31.0,1,Kodai Senga,0.7002848023099966,1,1.0,0.0,49.86795644149342,22.0,-27.86795644149342,1,0
2024,26221,2023,10,2,0,4.702361510277672,0.0,42.0,0.0,PIT,RP,1997.0,1,27.0,1,Ryan Pepiot,5.082909334588254,1,4.0,3.280232579353442,0.798460867341036,6.7197674206465585,9.201539132658963,1,1
2024,15986,2023,26,2,1,6.139324286196203,638.0,0.0,0.0,HIT,UNKNOWN,1995.0,1,29.0,0,Willy Adames,9.57954029450125,1,,32.605354949685065,10.169723401689124,6.605354949685065,-15.830276598310876,1,0
2024,18568,2023,10,2,1,9.34724228619626,617.0,0.0,0.0,HIT,CI,1997.0,1,27.0,0,Luis Arraez,6.703400263578915,1,,13.848387986436927,31.09040573978594,3.8483879864369275,21.09040573978594,1,1
2024,22664,2023,3,2,1,4.47849359318198,380.0,0.0,0.0,HIT,C,2000.0,1,24.0,0,Gabriel Moreno,3.2801049005009846,1,,0.0,0.0,-3.0,-3.0,0,0
2024,19600,2023,7,2,0,6.67593563276895,626.0,0.0,0.0,HIT,OF,1996.0,1,28.0,0,Bryan De La Cruz,5.031776970332603,1,1.0,2.9467689590899875,13.669275298173579,4.0532310409100125,-6.669275298173579,1,0
2024,12970,2023,25,2,0,8.23829869865323,0.0,97.33333333333331,0.0,PIT,SP,1992.0,1,32.0,1,Joe Musgrove,3.178386172011593,1,10.0,0.0,23.85834540474721,25.0,1.1416545952527883,1,1
2024,22201,2023,7,2,0,3.660727662143298,0.0,136.33333333333331,0.0,PIT,SP,1999.0,1,25.0,1,MacKenzie Gore,2.823101334656656,1,1.0,0.0,0.0,7.0,7.0,1,1
2024,26323,2023,6,2,1,9.03940522465777,665.0,0.0,0.0,HIT,OF,1997.0,1,27.0,0,Spencer Steer,6.895155733085215,1,,15.098935931906178,29.082822822660322,9.098935931906178,23.082822822660322,1,1
2024,11477,2023,24,2,0,10.571354728041849,632.0,0.0,0.0,HIT,UNKNOWN,1991.0,1,33.0,0,Christian Yelich,5.587776901925642,1,18.0,6.572764994169845,39.07354855763949,17.427235005830156,-15.07354855763949,1,0
2024,11493,2023,39,2,0,8.467741620000472,601.0,0.0,0.0,HIT,CI,1992.0,1,32.0,0,Manny Machado,8.897184906392189,1,20.0,28.155322150742524,25.35467494690836,10.844677849257476,13.64532505309164,1,1
2024,13543,2023,24,2,0,16.44070956735203,0.0,180.0,0.0,PIT,UNKNOWN,1992.0,1,32.0,1,Blake Snell,5.8527593536886755,1,16.0,8.300868299336747,77.35099459047993,15.699131700663253,-53.35099459047993,1,0
2024,20202,2023,8,2,0,6.323973842998489,472.0,0.0,0.0,HIT,OF,1997.0,1,27.0,0,Brandon Marsh,5.600891541163445,1,1.0,6.658293115983685,11.373929594531624,1.3417068840163147,-3.3739295945316243,1,0
2024,5361,2023,33,2,1,15.148650340227956,730.0,0.0,0.0,HIT,UNKNOWN,1989.0,1,35.0,0,Freddie Freeman,8.13296706251444,1,,23.171417091800443,68.92473162095604,-9.828582908199557,35.92473162095604,0,1
2024,18684,2023,30,2,1,6.340057930092101,0.0,184.66666666666663,0.0,PIT,UNKNOWN,1995.0,1,29.0,1,Sandy Alcantara,0.0,0,,0.0,11.478823197417897,-30.0,-18.521176802582104,0,0
2024,16149,2023,29,2,0,8.9749940723348,0.0,193.66666666666663,0.0,PIT,UNKNOWN,1993.0,1,31.0,1,Aaron Nola,7.399872943400896,1,18.0,18.39048778191749,28.662760571449535,10.60951221808251,0.33723942855046474,1,1
2024,16162,2023,34,2,1,7.821991650570318,0.0,67.0,0.0,PIT,SP,1993.0,1,31.0,1,Brandon Woodruff,0.0,0,,0.0,21.143367182718706,-34.0,-12.856632817281294,0,0
2024,19238,2023,7,2,0,7.593184429738005,592.0,0.0,0.0,HIT,OF,1993.0,1,31.0,0,Lourdes Gurriel,6.809263337698101,1,1.0,14.53878211277739,19.651183410036392,-7.53878211277739,-12.651183410036392,0,0
2024,13613,2023,20,2,0,9.403117119673356,650.0,0.0,0.0,HIT,MI,1993.0,1,31.0,0,Ketel Marte,9.796241595493562,1,13.0,34.018589041177556,31.454797735425593,-14.018589041177556,-11.454797735425593,0,0
2024,19251,2023,32,2,1,9.816516921048455,658.0,0.0,0.0,HIT,CI,1994.0,1,30.0,0,Pete Alonso,7.5474834051375,1,,19.35314068631568,34.15081612592081,-12.64685931368432,2.1508161259208123,0,1
2024,13621,2023,1,2,1,7.293301817096172,576.0,0.0,0.0,HIT,CI,1993.0,1,31.0,0,Jeimer Candelario,4.100492036295456,1,,0.0,17.695476039150282,-1.0,16.695476039150282,0,1
