rank,fg_id,roto_points,name,PA,HR,R,RBI,SB,IP,W,SV,K,AVG,ERA,WHIP,role,hindsight_$,drafted_$,team,current_$,contract,bargain
69,28806,7.824128674148297,Jackson Chourio,554.0,23.0,82.0,72.0,16.0,0.0,0.0,0.0,0.0,0.2766798418972332,,,HIT,13.684235813234196,,McBlocks,14.0,F,-0.3157641867658043
70,30116,7.818783313158203,Seiya Suzuki,608.0,27.0,85.0,92.0,3.0,0.0,0.0,0.0,0.0,0.26824817518248173,,,HIT,13.661054331336821,,Spehr's Army,16.0,F,-2.338945668663179
71,16432,7.777086244036663,Foster Griffin,0.0,0.0,0.0,0.0,0.0,176.1,14.0,0.0,164.0,,3.475298126064736,1.135718341851221,PIT,13.480224663367553,,New York Polar Bears,10.0,2,3.4802246633675527
72,18882,7.776292131080335,Brandon Lowe,645.0,31.0,92.0,94.0,3.0,0.0,0.0,0.0,0.0,0.24957264957264957,,,HIT,13.476780795842851,,All-Stars,1.0,1,12.476780795842851
73,23772,7.695047090889459,Wilyer Abreu,664.0,28.0,86.0,86.0,10.0,0.0,0.0,0.0,0.0,0.25375626043405675,,,HIT,13.124441555906289,,Pookie 2.0,1.0,2,12.124441555906289
74,19326,7.692081224115282,Bryan Reynolds,693.0,20.0,101.0,82.0,9.0,0.0,0.0,0.0,0.0,0.2624,,,HIT,13.111579340040414,4.0,NPB No Stars,4.0,2,9.111579340040414
75,21837,7.6896465733725705,Jonathan Aranda,682.0,21.0,78.0,97.0,0.0,0.0,0.0,0.0,0.0,0.2822185970636215,,,HIT,13.101020874069045,19.0,All-Stars,19.0,2,-5.898979125930955
76,17130,7.606246993430582,Raisel Iglesias,0.0,0.0,0.0,0.0,0.0,60.2,2.0,32.0,67.0,,2.990033222591362,1.112956810631229,PIT,12.739337938855371,3.0,McBlocks,3.0,2,9.739337938855371
77,16556,7.44290821340882,Ozzie Albies,684.0,25.0,94.0,84.0,4.0,0.0,0.0,0.0,0.0,0.2576489533011272,,,HIT,12.03097886278347,5.0,Pookie 2.0,5.0,2,7.030978862783471
78,31539,7.439490433327849,Drake Baldwin,589.0,27.0,84.0,82.0,2.0,0.0,0.0,0.0,0.0,0.26879699248120303,,,HIT,12.016156812930701,,Pookie 2.0,10.0,1,2.016156812930701
79,25976,7.434972370842738,Riley Greene,663.0,23.0,88.0,78.0,4.0,0.0,0.0,0.0,0.0,0.27212020033388984,,,HIT,11.99656311590932,,Lisbon Long Balls,3.0,F,8.99656311590932
80,18568,7.419150559542601,Luis Arraez,669.0,7.0,76.0,66.0,12.0,0.0,0.0,0.0,0.0,0.3114754098360656,,,HIT,11.92794791238658,,The Fighting Phils,11.0,1,0.9279479123865801
81,31347,7.391503431064747,Zach Neto,696.0,27.0,100.0,73.0,21.0,0.0,0.0,0.0,0.0,0.22857142857142856,,,HIT,11.8080492919732,,Producers,1.0,1,10.8080492919732
82,13613,7.37397685599627,Ketel Marte,674.0,28.0,86.0,88.0,5.0,0.0,0.0,0.0,0.0,0.2512315270935961,,,HIT,11.73204095812525,,Spehr's Army,13.0,F,-1.2679590418747502
83,33703,7.364256800936279,Nolan McLean,0.0,0.0,0.0,0.0,0.0,177.2,11.0,0.0,202.0,,3.5045146726862306,1.1568848758465011,PIT,11.689887531849227,20.0,Spehr's Army,20.0,2,-8.310112468150773
84,18684,7.356623485800651,Sandy Alcantara,0.0,0.0,0.0,0.0,0.0,213.2,16.0,0.0,169.0,,3.672607879924953,1.177298311444653,PIT,11.656783770108635,9.0,McBlocks,9.0,2,2.6567837701086354
85,33927,7.311132746808274,Grant Taylor,0.0,0.0,0.0,0.0,0.0,82.1,5.0,12.0,105.0,,2.5213154689403168,1.071863580998782,PIT,11.459501913110712,,All-Stars,10.0,2,1.4595019131107119
86,20454,7.30683226863538,Jazz Chisholm Jr.,584.0,24.0,74.0,68.0,40.0,0.0,0.0,0.0,0.0,0.222011385199241,,,HIT,11.440851824351554,,The Fighting Phils,15.0,F,-3.5591481756484455
87,27474,7.286884735933322,Max Meyer,0.0,0.0,0.0,0.0,0.0,128.0,10.0,0.0,138.0,,2.8125,1.1484375,PIT,11.354344408091551,,New York Polar Bears,10.0,2,1.354344408091551
88,18314,7.277885814953527,Dansby Swanson,623.0,23.0,99.0,87.0,21.0,0.0,0.0,0.0,0.0,0.21946902654867256,,,HIT,11.315318358368135,3.0,Pookie 2.0,3.0,2,8.315318358368135
89,35177,7.270914005145669,Carson Benge,619.0,17.0,81.0,63.0,22.0,0.0,0.0,0.0,0.0,0.26916221033868093,,,HIT,11.28508337832613,15.0,Orange and Black Attack,15.0,2,-3.7149166216738703
90,31912,7.159061482429955,Chandler Simpson,591.0,0.0,66.0,35.0,45.0,0.0,0.0,0.0,0.0,0.3031423290203327,,,HIT,10.800007209417203,3.0,NPB No Stars,3.0,2,7.800007209417203
91,17350,7.139330548882646,Rafael Devers,681.0,32.0,85.0,87.0,0.0,0.0,0.0,0.0,0.0,0.2463295269168026,,,HIT,10.714439129040052,,Lisbon Long Balls,30.0,F,-19.285560870959948
92,14161,7.1306145859034835,Byron Buxton,486.0,32.0,77.0,62.0,10.0,0.0,0.0,0.0,0.0,0.2585034013605442,,,HIT,10.676640196770729,,All-Stars,8.0,1,2.6766401967707285
93,21483,7.118758921199176,Shane McClanahan,0.0,0.0,0.0,0.0,0.0,137.0,12.0,0.0,130.0,,3.153284671532847,1.1386861313868613,PIT,10.625225170314412,,The Fighting Phils,1.0,1,9.625225170314412
94,17586,7.092941079638609,Tanner Scott,0.0,0.0,0.0,0.0,0.0,64.2,2.0,19.0,79.0,,2.5233644859813085,0.9657320872274143,PIT,10.513259705704126,,,,,
95,20202,7.085007813354291,Brandon Marsh,590.0,20.0,79.0,67.0,13.0,0.0,0.0,0.0,0.0,0.2718808193668529,,,HIT,10.478855131513946,,All-Stars,10.0,2,0.47885513151394576
96,37120,7.0735971331151015,Munetaka Murakami,536.0,35.0,86.0,78.0,3.0,0.0,0.0,0.0,0.0,0.23628691983122363,,,HIT,10.429369890406432,,Lisbon Long Balls,10.0,2,0.4293698904064325
97,35041,7.066991636316528,Jac Caglianone,587.0,28.0,73.0,73.0,6.0,0.0,0.0,0.0,0.0,0.26591760299625467,,,HIT,10.4007235174593,13.0,The Fighting Phils,13.0,2,-2.5992764825407004
