decision_season,fg_id,buy_season,keeper_salary,years_control_left,kept,rp_prior,PA_prior,IP_prior,SV_prior,pos_group,birth_year,played_prior,age,is_pit,team,proj_redraft,proj_replace,rel,role,value_realised,true_replace,has_proj,surplus_true,surplus_redraft,truth,owner,model_redraft,model_replace,model_matched_k,model_teamcap
2024,19291,2022,15,1,1,14.84077201195741,0.0,210.0,0.0,SP,1995.0,1,29.0,1,All-Stars,23.320697769433583,25.051530804563463,0.79,PIT,3.7251689148469085,16.471955426561816,True,1.4719554265618164,-11.274831085153092,1,1,1,1,1,1
2024,13774,2022,5,1,0,14.273946457546522,0.0,177.66666666666663,0.0,SP,1994.0,1,30.0,1,New York Polar Bears,14.637671493498946,17.720370605371567,0.73,PIT,2.6561433363060414,15.225448242248726,True,10.225448242248726,-2.3438566636939586,1,0,1,1,1,1
2024,11739,2022,18,1,1,7.23675965507849,540.0,0.0,0.0,C,1991.0,1,33.0,0,Who's On First,11.373592659305864,29.404482685973328,0.85,HIT,0.0,8.663659716983483,True,-9.336340283016517,-18.0,0,1,0,1,1,0
2024,18401,2022,40,1,1,20.69180659021709,735.0,0.0,0.0,OF,1997.0,1,27.0,0,Pookie 2.0,50.5536814497654,62.484597661267856,0.85,HIT,0.0,0.7044618206206653,True,-39.295538179379335,-40.0,0,1,1,1,1,1
2024,17919,2022,7,1,1,8.228772033749062,691.0,0.0,0.0,UNKNOWN,1994.0,1,30.0,0,New York Polar Bears,11.533803866225936,29.53975050462455,0.86,HIT,11.827756638012696,24.511753684971506,True,17.511753684971506,4.827756638012696,1,1,1,1,1,1
2025,24064,2024,3,2,1,7.5951489926995714,695.0,0.0,0.0,UNKNOWN,2001.0,1,24.0,0,New York Polar Bears,13.981308643830348,21.671019326093607,0.83,HIT,0.0,2.45923472513699,True,-0.5407652748630101,-3.0,0,1,1,1,1,1
2025,9218,2024,18,2,0,6.004771170678836,654.0,0.0,0.0,CI,1987.0,1,38.0,0,Producers,12.875064318084446,20.834283534072448,0.87,HIT,1.3702937365732204,13.562956855337188,True,-4.4370431446628125,-16.62970626342678,0,0,0,1,0,0
2025,17929,2024,7,2,0,6.324460997869627,499.0,0.0,0.0,OF,1994.0,1,31.0,0,Milwaukee Beers,7.362579221556235,16.6647764225776,0.84,HIT,0.8355933269742116,12.755997396208546,True,5.755997396208546,-6.1644066730257885,1,0,1,1,1,1
2025,19470,2024,7,2,0,1.8472895196006345,153.0,0.0,0.0,OF,1995.0,1,30.0,0,New York Polar Bears,0.0,4.932055517577072,0.8,HIT,0.0,3.6725124046242508,True,-3.3274875953757492,-7.0,0,0,0,0,0,0
2025,21523,2024,2,2,0,5.913484345862907,637.0,0.0,0.0,MI,1996.0,1,29.0,0,Milwaukee Beers,5.433066188365741,15.20534058325413,0.85,HIT,0.0,2.488671558612402,True,0.4886715586124022,-2.0,1,0,1,1,1,1
2025,3096,2024,6,2,1,6.9838956725363515,0.0,54.66666666666668,27.0,UNKNOWN,1987.0,1,38.0,1,Lisbon Long Balls,2.42213898080633,11.559803881794382,0.52,PIT,17.43668007849857,38.24327263467581,True,32.24327263467581,11.436680078498568,1,1,0,1,0,0
2025,21029,2024,11,2,0,6.326429130876836,0.0,54.333333333333336,23.0,RP,1998.0,1,27.0,1,Pookie 2.0,0.9645532648783933,10.457322169507773,0.55,PIT,24.488828646825574,48.88623810137467,True,37.88623810137467,13.488828646825574,1,0,0,0,0,0
2025,14374,2024,22,2,1,7.889574932035608,0.0,134.0,0.0,UNKNOWN,1993.0,1,32.0,1,Phenoms,16.880331803142216,22.49562261626318,0.68,PIT,0.0,10.341342190900045,True,-11.658657809099955,-22.0,0,1,0,1,0,0
2025,33829,2024,4,2,1,11.021401323609751,0.0,173.33333333333331,0.0,UNKNOWN,1993.0,1,32.0,1,Lisbon Long Balls,20.750651714649475,25.423036679469085,0.63,PIT,6.888916159398754,22.324792464524904,True,18.324792464524904,2.888916159398754,1,1,1,1,1,1
2025,9777,2024,12,2,0,6.074060397213206,635.0,0.0,0.0,CI,1991.0,1,34.0,0,Pookie 2.0,10.931466945658347,19.36419464960233,0.86,HIT,0.0,4.721432737794106,True,-7.278567262205894,-12.0,0,0,0,1,1,0
2025,33333,2024,16,2,1,6.653560820648505,557.0,0.0,0.0,UNKNOWN,2001.0,1,24.0,0,Producers,6.357079331752004,15.904241225160659,0.7,HIT,6.575338458133611,21.418309119609233,True,5.4183091196092334,-9.424661541866389,1,1,0,0,0,0
2025,12856,2024,13,2,1,5.146817178063286,614.0,0.0,0.0,UNKNOWN,1989.0,1,36.0,0,Milwaukee Beers,7.416463058843995,16.70553282170282,0.86,HIT,22.371865616576567,45.25812069081708,True,32.25812069081708,9.371865616576567,1,1,0,1,0,0
2025,17995,2024,26,2,0,6.598532818001484,0.0,204.66666666666663,0.0,UNKNOWN,1996.0,1,29.0,1,Phenoms,19.917130439835205,24.792581844296983,0.81,PIT,18.292628211703096,39.53505291053325,True,13.535052910533253,-7.7073717882969035,1,0,0,0,0,0
2025,20043,2024,26,2,0,4.168042806712311,425.0,0.0,0.0,UNKNOWN,1997.0,1,28.0,0,New York Polar Bears,8.141610515557831,17.254016386684242,0.83,HIT,2.1012911267037815,14.666163899832593,True,-11.333836100167407,-23.89870887329622,0,0,0,0,0,0
2025,17998,2024,4,2,0,5.113078326151187,0.0,45.333333333333336,23.0,RP,1993.0,1,32.0,1,Moben,0.0,6.971328503687374,0.46,PIT,12.782730026338768,31.21962172758373,True,27.21962172758373,8.782730026338768,1,0,0,1,0,0
2025,18525,2024,17,2,1,9.774205553294756,0.0,189.33333333333331,0.0,UNKNOWN,1995.0,1,30.0,1,McBlocks,20.822809902105515,25.477615344169696,0.79,PIT,0.0,0.0,True,-17.0,-17.0,0,1,1,1,1,1
2025,15454,2024,1,2,1,4.169101834401489,0.0,145.66666666666663,0.0,UNKNOWN,1993.0,1,32.0,1,New York Polar Bears,3.7838408589837376,12.589761435488702,0.76,PIT,28.64418693907859,55.15742402120012,True,54.15742402120012,27.64418693907859,1,1,1,1,1,1
2025,19556,2024,31,2,0,9.86016033929488,635.0,0.0,0.0,UTIL,1997.0,1,28.0,0,Producers,28.833187815327104,32.9046126583674,0.85,HIT,0.0,0.0,True,-31.0,-31.0,0,0,0,1,0,0
2025,31349,2024,1,2,1,0.5147385607693598,155.0,0.0,0.0,UNKNOWN,2001.0,1,24.0,0,Spehr's Army,0.0,0.0,0.39,HIT,0.0,7.838760295425489,True,6.838760295425489,-1.0,1,1,0,0,0,0
2025,17548,2024,1,2,0,6.3212784668068265,663.0,0.0,0.0,OF,1993.0,1,32.0,0,Moben,7.854084755505195,17.036539027510525,0.85,HIT,10.334361505710259,27.091353596233798,True,26.091353596233798,9.334361505710259,1,0,1,1,1,1
2025,23697,2024,36,2,0,7.795254108452787,613.0,0.0,0.0,UNKNOWN,2000.0,1,25.0,0,New York Polar Bears,26.886541409951107,31.432217560937936,0.86,HIT,21.600307878545813,44.09370075810235,True,8.09370075810235,-14.399692121454187,1,0,0,0,0,0
2025,19611,2024,37,2,0,10.760524308015222,697.0,0.0,0.0,CI,1999.0,1,26.0,0,Lisbon Long Balls,24.700048269103952,29.778408336902373,0.87,HIT,14.791511489691361,33.817997667866265,True,-3.1820023321337345,-22.20848851030864,0,0,0,0,0,0
2025,19612,2024,21,2,0,1.873021036458572,336.0,0.0,0.0,MI,1998.0,1,27.0,0,New York Polar Bears,0.0,10.478616028473866,0.84,HIT,14.101286154457068,32.7763230156713,True,11.776323015671302,-6.898713845542932,1,0,0,0,0,0
2025,26289,2024,29,2,1,11.197236460659614,719.0,0.0,0.0,UNKNOWN,2001.0,1,24.0,0,New York Polar Bears,29.598802138897206,33.48370435855146,0.84,HIT,12.924272245991714,30.999996515988272,True,1.999996515988272,-16.075727754008284,1,1,1,1,0,1
