fg_id,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,PA,AB,H,HR,R,RBI,SB,IP,W,SV,K,ER,BB,name,w_2026,pt_scale,AVG,ERA,WHIP,role,rp_above_repl,redraft_value,keep_value,roto_points_ft,redraft_value_ft,upside_ft,draft_year,draft_salary,contract,acquisition,salary,keeper_cost,years_controlled,redraft_value_2028,surplus_y2027,surplus_y2028,surplus_y2029,extension_option,surplus_multiyear,surplus_redraft
21504,0.0,0.0,0.0,0.0,0.0,1.5565280114914681,0.0,1.7415681398994534,-2.6817003091336016,-1.3971538417407452,-0.7807579994834255,0.0,0.0,123.98021993818429,0.0,0.0,0.0,0.0,123.2,5.891630852018319,0.0,102.88425341848273,67.28114404102985,41.97587855488384,Jake Irvin,0.5,1.2175324675324675,,4.915018639360946,1.3470462540021764,PIT,-4.916335784481072,0.0,0.0,-0.8565900303083653,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21549,0.0,0.0,0.0,0.0,0.0,0.5283861296090002,0.07699190745264106,0.6940254836222596,-1.167695391516632,-1.2156942758316653,-1.0839861466643965,0.0,0.0,51.0,0.0,0.0,0.0,0.0,49.0,1.9999999999999998,0.5061112268696957,41.0,26.999999999999996,24.0,Jackson Kowar,0.0,1.3265306122448979,,4.959183673469387,1.530612244897959,PIT,-5.2195639316620435,0.0,0.0,-1.3997407496088463,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21897,1.0332473638563926,0.7692922333395301,1.0684646165830702,0.303427978367997,-0.5848869055050493,0.0,0.0,0.0,0.0,0.0,2.5895452866419406,375.63157894736844,335.53500320273304,75.05063382553783,11.866827865369219,40.74448907794144,41.37975535244293,6.175644620251387,0.0,0.0,0.0,0.0,0.0,0.0,Christopher Morel,0.2260061919504644,1.5973097940311054,0.2236745290630427,,,HIT,-1.5460324983557063,0.0,0.0,4.159950950013262,1.1623692860646773,1.1623692860646773,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21894,0.0,0.0,0.0,0.0,0.0,0.49008467856724025,0.07699190745264106,0.6507612254779276,0.16480032049786322,-0.6018646309736211,0.7807735010220509,0.0,0.0,42.368747023429584,0.0,0.0,0.0,0.0,44.85333333333334,1.8550247673227052,0.5061112268696957,38.44413623739058,16.94191032246534,18.979728151344343,Gregory Santos,0.06666666666666667,1.449167657550535,,3.399461791814537,1.3677573240511427,PIT,-3.354804283975596,0.0,0.0,1.1413950402003499,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21871,0.875637814561508,0.725373832162154,1.1826629226957999,0.11493306627164526,-0.14342323614868363,0.0,0.0,0.0,0.0,0.0,2.7551843995424234,326.2280701754386,298.6221172224025,73.30324744390575,11.189358258492101,34.529403722333186,45.80245489276107,2.3392232193850466,0.0,0.0,0.0,0.0,0.0,0.0,Jerar Encarnacion,0.12280701754385964,1.8392040871201938,0.2454715950905681,,,HIT,-1.3803933854552235,0.0,0.0,5.074969267025861,7.258043392166757,7.258043392166757,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21866,0.0,0.0,0.0,0.0,0.0,0.7925791944135004,0.07699190745264106,0.8802274426428658,-1.042676415962092,-1.0870766363437856,-0.37995450779687023,0.0,0.0,65.0,0.0,0.0,0.0,0.0,65.7,3.0,0.5061112268696957,52.0,33.0,28.0,Jordan Balazovic,0.0,1.0,,4.520547945205479,1.4155251141552512,PIT,-4.515532292794517,0.0,0.0,-0.37995450779687023,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21865,0.9705579078197323,0.743012371118039,1.0220955293272576,0.08493571237085537,-0.7673777415995445,0.0,0.0,0.0,0.0,0.0,2.05322377903634,340.53801169590645,300.4600731849116,63.06638072357673,11.461444075188128,38.27242871162745,39.58396215837563,1.7286895493010195,0.0,0.0,0.0,0.0,0.0,0.0,Bo Naylor,0.26900584795321636,1.7619178458579474,0.20989937216970556,,,HIT,-2.082354005961307,0.0,0.0,3.6569873599243037,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21863,0.0,0.0,0.0,0.0,0.0,0.9025948871648061,0.37449664498196605,1.1140617949325193,-0.726633568091486,-0.45076812801741356,1.2137516309703922,0.0,0.0,60.48829513326622,0.0,0.0,0.0,0.0,67.74413892908828,3.4164215772761333,2.461777642890519,65.81391414309199,31.810992119589503,25.74124899196934,George Soriano,0.4934876989869755,1.0,,4.226180059296218,1.272870915305264,PIT,-2.9218261540272548,0.0,0.0,1.2137516309703922,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21859,0.0,0.0,0.0,0.0,0.0,0.5283861296090002,0.07699190745264106,0.5755333278818738,-0.8743886971177873,-1.010266868703842,-0.7037442008781144,0.0,0.0,33.0,0.0,0.0,0.0,0.0,36.3,2.0,0.5061112268696957,34.0,20.0,24.0,Alex Speas,0.0,1.790633608815427,,4.958677685950414,1.5702479338842976,PIT,-4.8393219858757615,0.0,0.0,-1.186878881689266,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21853,1.1149110803040851,0.7568670843498886,1.0187535899979194,0.29601492925778516,-0.4437836461046324,0.0,0.0,0.0,0.0,0.0,2.742763037805046,326.3010752688172,288.8552718786996,65.68381682423961,11.675161944576585,43.96476964120215,39.454534726054135,6.024767443059716,0.0,0.0,0.0,0.0,0.0,0.0,Will Benson,0.3279569892473118,1.838792592104396,0.22739351924247564,,,HIT,-1.3928147471926011,0.0,0.0,5.068119728397244,7.2124130976896765,7.2124130976896765,2023.0,6.0,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21850,0.0,0.0,0.0,0.0,0.0,0.5283861296090002,0.07699190745264106,0.5755333278818738,-0.718672513823007,-0.6674177552063172,-0.2051789040858092,0.0,0.0,35.0,0.0,0.0,0.0,0.0,38.7,2.0,0.5061112268696957,34.0,20.0,20.0,Mason Thompson,0.0,1.6795865633074933,,4.651162790697674,1.421188630490956,PIT,-4.340756689083456,0.0,0.0,-0.29815689049377725,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21844,0.0,0.0,0.0,0.0,0.0,1.1547946674404146,0.0,1.3593681651276022,-0.6546022416164553,-0.5135533251818041,1.3460072657697575,0.0,0.0,88.55805913444544,0.0,0.0,0.0,0.0,91.04690265486725,4.371025667516857,0.0,80.30554509229857,40.77889252184884,26.109118140340904,Braxton Garrett,0.11504424778761062,1.6475025028430355,,4.0309996495747855,1.2594297436943769,PIT,-2.7895705192278895,0.0,0.0,2.298029846701299,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21842,1.033954404199027,0.6840723259210779,1.151359595307035,0.07413480535018535,-0.21917975555436556,0.0,0.07699190745264106,0.01692745082005511,-0.7891982146955528,-0.618196491827277,1.4108660269728261,385.5,348.03150072693984,97.51809191509184,10.552255940409804,40.77237010481443,44.590132080231314,1.5088595794518334,8.0,0.0,0.5061112268696957,1.0,8.0,5.0,Carlos Cortes,0.75,2.0,0.24284609794963197,9.0,2.25,TWO,-2.724711758024821,0.0,0.0,1.6395625165869148,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21840,0.7323599706660612,0.42270318439131194,0.7697533031228874,0.023349950487196534,-0.38655787162329514,0.0,0.0,0.0,0.0,0.0,1.561608537044162,297.5,270.47875172773206,62.01670940101227,6.520468698273245,28.87946668893911,29.811191564604798,0.4752396166134185,0.0,0.0,0.0,0.0,0.0,0.0,Freddy Fermin,0.5,2.0,0.22928495863305082,,,HIT,-2.5739692479534853,0.0,0.0,3.1492298094715596,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21646,0.37230544988444575,0.17532011923193033,0.4441692744777382,0.0,-0.41474963166237966,0.0,0.0,0.0,0.0,0.0,0.5770452119317345,172.53424657534248,153.67626648913551,32.00487190344446,2.7044256864908327,14.68128143086481,17.201894782195545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rafael Marchán,0.3150684931506849,2.0,0.208261644004132,,,HIT,-3.5585325730659125,0.0,0.0,1.1699878254297862,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21746,0.9965912090357514,0.387161575527863,0.9534626271640834,0.44108855283848686,-0.288912147681051,0.0,0.0,0.0,0.0,0.0,2.4893918168851332,350.0,307.72538589137025,73.11242865108994,5.9722165046823585,39.29901111015392,36.92593057121591,8.977438939687364,0.0,0.0,0.0,0.0,0.0,0.0,José Fermín,0.5,1.7142857142857142,0.23758985122176193,,,HIT,-1.6461859681125137,0.0,0.0,4.280875092846267,1.9679424123779352,1.9679424123779352,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21741,0.0,0.0,0.0,0.0,0.0,1.3331253321767549,0.09916824584310832,1.2194455442920928,-0.4856310671301174,-0.7871523128608422,1.3789557423209968,0.0,0.0,89.31941054948297,0.0,0.0,0.0,0.0,96.4,5.046026977139814,0.6518888053402745,72.03952663961263,41.841672341921395,35.71177513007892,Javier Assad,0.5,1.5560165975103732,,3.9063801978972252,1.2970040008253307,PIT,-2.75662204267665,0.0,0.0,2.220939699193303,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21735,0.520895245176087,0.23379451957186334,0.641378821985807,0.03405217290902978,-0.5947566967079603,0.0,0.0,0.0,0.0,0.0,0.8353640629348267,245.11074918566777,225.17831289987163,47.02562952809951,3.6064309496304316,20.540686935426333,24.8394736990781,0.6930610669609227,0.0,0.0,0.0,0.0,0.0,0.0,Sebastián Rivero,0.18566775244299674,2.0,0.2088372939760413,,,HIT,-3.3002137220628205,0.0,0.0,1.7047664683681938,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21730,0.7439148476355538,0.5750702880491259,0.9184612493938282,0.09671746216096878,-0.6049512700454552,0.0,0.0,0.0,0.0,0.0,1.7292125771940219,304.57936507936506,284.8945397678917,61.92398054360756,8.870829345491853,29.335115137654522,35.57038877165367,1.9684825311473364,0.0,0.0,0.0,0.0,0.0,0.0,Jair Camargo,0.007936507936507936,1.9699299059332414,0.21735755481329358,,,HIT,-2.406365207803625,0.0,0.0,3.447967314755813,0.0,0.0,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
21716,1.1158044937737193,0.7779253988350607,1.1361218240474595,0.14739901517631965,-0.262661882233414,0.0,0.0,0.0,0.0,0.0,2.9145888495991454,389.0,345.0,83.0,12.0,44.0,44.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Enmanuel Valdez,0.0,1.5424164524421593,0.24057971014492754,,,HIT,-1.2209889353985015,0.0,0.0,4.504747744123125,3.4593384839977515,3.4593384839977515,,,1,free agent price,20.0,20.0,1,0.0,-20.0,0.0,0.0,0.0,-20.0,-20.0
