season,team,player,fg_id,match,salary,log_salary,pos,pos_group,role,rp_prior1,rp_prior2,rp_prior_best,rp_prior_mean,PA_prior1,IP_prior1,SV_prior1,PA_prior2,IP_prior2,SV_prior2,played_prior1,played_prior2,has_prior_window,no_prior_line,auction_tenure,ever_bought_before,last_salary,last_salary_season,years_since_last,birth_year,age,rp_realized,played,rp_R_prior1,rp_HR_prior1,rp_RBI_prior1,rp_SB_prior1,rp_AVG_prior1,rp_W_prior1,rp_SV_prior1,rp_K_prior1,rp_ERA_prior1,rp_WHIP_prior1
2022,All-Stars,Justin Turner,5235,exact,20,2.995732273553991,3B,CI,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1984.0,38.0,7.957366805499951,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,All-Stars,Trent Grisham,18564,exact,20,2.995732273553991,OF,OF,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1996.0,26.0,4.392894468168064,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Producers,Chris Bassitt,12304,exact,20,2.995732273553991,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1989.0,33.0,10.898793020980774,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Moben,Luke Voit,14811,exact,19,2.9444389791664403,1B,CI,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1991.0,31.0,6.121188399480562,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,New York Polar Bears,Steven Matz,13361,exact,19,2.9444389791664403,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1991.0,31.0,1.3324775222602945,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Who's On First,Sean Manaea,15873,exact,19,2.9444389791664403,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1992.0,30.0,1.8652959431895368,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Micks,Jorge Soler,14221,exact,18,2.8903717578961645,U,UTIL,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1992.0,30.0,2.934067751001872,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,All-Stars,Corey Knebel,15010,exact,18,2.8903717578961645,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1991.0,31.0,4.16220130033655,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Who's On First,J.T. Realmuto,11739,exact,18,2.8903717578961645,C,C,HIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1991.0,31.0,11.478578039295632,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022,Spehr's Army,Ian Anderson,19951,exact,17,2.833213344056216,P,SP,PIT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,,1998.0,24.0,0.3781590229166887,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
