fg_id,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,PA,AB,H,HR,R,RBI,SB,IP,W,SV,K,ER,BB,name,w_2026,pt_scale,pt_scale_kind,AVG,ERA,WHIP,role,rp_above_repl,redraft_value,keep_value,roto_points_ft,redraft_value_ft,upside_ft,upside_kind
12856,1.946061989948554,1.1714385720798692,1.7014973904164596,0.6260785659070675,-0.19183850591262835,0.0,0.0,0.0,0.0,0.0,5.253238012439323,495.9,440.8952987421383,108.58345009530235,16.21411556071863,65.78508863754352,57.54501238287333,10.70811320754717,0.0,0.0,0.0,0.0,0.0,0.0,George Springer,0.5,1.2099213551119177,health,0.24627944640164645,,,HIT,0.4421811901104622,3.8658788605555054,11.686300217496676,6.358553411066108,11.029684345767699,7.163805485212193,health
11477,1.9816467748012527,0.9962105375613457,1.8147101481709114,0.7935517702492032,-0.34870272209447517,0.0,0.0,0.0,0.0,0.0,5.237416508688238,504.4,448.20830899161797,107.74769905537413,13.788749289812516,66.98800418585274,61.37389251138448,13.572485394970789,0.0,0.0,0.0,0.0,0.0,0.0,Christian Yelich,0.5,1.189532117367169,health,0.24039647836468186,,,HIT,0.42635968635937704,3.7633360248208882,11.541178887294738,6.234434638381268,10.225241789659158,6.46190576483827,health
20253,0.0,0.0,0.0,0.0,0.0,2.0369133284441845,0.0,1.8281094872573858,0.8774801405989077,0.49201408632869714,5.234517042629175,0.0,0.0,64.88717639301174,0.0,0.0,0.0,0.0,80.25999999999999,7.4754227919502565,0.0,96.08262057552923,26.531118283088517,22.364204748917373,Griffin Jax,0.5,1.8689259905307751,health,,2.975081791026622,1.0871091595057205,PIT,0.4234602203003144,3.7445439127378526,11.514583793807642,9.657699479441106,32.41221527811865,28.667671365380798,health
18882,1.9462191237794098,1.5494121161031114,1.922245523548405,0.1685248111413946,-0.35775663750287157,0.0,0.0,0.0,0.0,0.0,5.228644937069449,521.8,471.3846035602717,113.45541906468627,21.445722977235704,65.79040042259672,65.01076233119666,2.882358308127138,0.0,0.0,0.0,0.0,0.0,0.0,Brandon Lowe,0.5,1.1498658489842852,health,0.24068545770859004,,,HIT,0.417588114740588,3.7064854345236022,11.46072242997519,6.015839021278921,8.808472890224056,5.1019874557004545,health
33321,1.7643602591012384,0.6218301946887365,1.5635312569462725,0.9978967661755648,0.27798785935711756,0.0,0.0,0.0,0.0,0.0,5.22560633626893,446.1,393.55246100519935,104.58386719345432,8.606876089051907,59.642805128012704,52.87896769560181,17.067493000933208,0.0,0.0,0.0,0.0,0.0,0.0,Luke Keaschall,0.5,1.3449899125756557,health,0.2657431411464929,,,HIT,0.4145495139400692,3.686791557907778,11.432851135497653,7.02138882614746,15.325674420864821,11.638882862957043,health
19950,1.6585122781106778,0.7899505744659917,1.7791354450371089,1.1224694105154054,-0.15706323769405836,0.0,0.0,0.0,0.0,0.0,5.193004470435126,521.9,471.4260380232225,116.91602065024536,10.93386388917231,56.06469772571298,60.170748302123805,19.19811693663991,0.0,0.0,0.0,0.0,0.0,0.0,Andrés Giménez,0.5,1.1496455259628282,health,0.24800501291887928,,,HIT,0.3819476481062649,3.4754913031763954,11.133813432678647,5.971594810948411,8.521715900274975,5.046224597098579,health
25714,1.8340910664662708,1.1559691358488873,1.921927301730603,0.11693536550693207,0.16071562352390073,0.0,0.0,0.0,0.0,0.0,5.189638493076594,521.0,466.0,120.99999999999999,16.0,62.0,65.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,Blaine Crim,0.0,1.1516314779270633,health,0.259656652360515,,,HIT,0.3785816707477334,3.45367562315049,11.102939305959422,5.974677069655317,8.541692733908892,5.088017110758402,health
29005,1.7053561731443931,1.5664331191664247,2.140138511118564,0.05176760235144722,-0.3068061511033282,0.0,0.0,0.0,0.0,0.0,5.156889254677501,491.4,439.7664092664092,106.32924182363578,21.681314084789822,57.64821860163441,72.37995063468097,0.8854054054054054,0.0,0.0,0.0,0.0,0.0,0.0,Esmerlyn Valdez,0.5,1.221001221001221,health,0.2417857289305192,,,HIT,0.34583243234864014,3.2414202126392295,10.802549841446554,6.3010411670472095,10.656934151858056,7.415513939218827,health
31680,2.008464508459218,1.021785859093009,2.064217069612857,0.3469976120557172,-0.2902053490490779,0.0,0.0,0.0,0.0,0.0,5.151259700171723,587.2,523.7763496613902,127.87816332018511,14.14274243012773,67.89455649243878,69.8122709449095,5.934861717008047,0.0,0.0,0.0,0.0,0.0,0.0,Cole Young,0.5,1.0217983651226157,health,0.2441465014654738,,,HIT,0.3402028778428621,3.2049337640672673,10.750913255495185,5.263963352463636,3.935392277081135,0.7304585130138679,health
31812,2.067673074632232,0.917680799076308,1.6640102611351872,0.3678180188905967,0.13173886142246183,0.0,0.0,0.0,0.0,0.0,5.148921015156786,492.9,426.38553626584303,110.43730185472926,12.701803473704796,69.89605531103322,56.2771895047194,6.290962828842263,0.0,0.0,0.0,0.0,0.0,0.0,Roman Anthony,0.45414847161572053,1.2172854534388315,health,0.2590080864888291,,,HIT,0.3378641928279249,3.1897762040088393,10.729461876054229,6.265520673852953,10.42671759620472,7.23694139219588,health
