fg_id,name,PA,AB,H,HR,R,RBI,SB,AVG,role,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,roto_points,z_R,z_HR,z_RBI,z_SB,z_AVG,z_total,IP,W,SV,K,ER,BB,ERA,WHIP,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,z_W,z_SV,z_K,z_ERA,z_WHIP
18568,Luis Arraez,669.0,610.0,190.0,7.0,76.0,66.0,12.0,0.3114754098360656,HIT,2.2482406621199447,0.5057364969338881,1.95149541406492,0.7016121930415924,2.012065793382255,7.419150559542601,0.22034740411764356,-1.4187936350163077,-0.16667926789731388,0.046464293959864525,2.7175887345543654,0.4841235745895011,,,,,,,,,,,,,,,,,,
18839,Josh Naylor,643.0,584.0,154.0,15.0,62.0,64.0,29.0,0.2636986301369863,HIT,1.8340910664662708,1.0837210648583318,1.8923591893962861,1.695562799850515,0.33336848332728497,6.839102603898689,-0.45908221131487065,-0.559646384475168,-0.262178777261967,1.6361239510617314,0.31417580108712934,0.20437415997020278,,,,,,,,,,,,,,,,,,
18882,Brandon Lowe,645.0,585.0,146.0,31.0,92.0,94.0,3.0,0.24957264957264957,HIT,2.721554485724144,2.239690200707219,2.779402559425795,0.1754030482603981,-0.13975816303722033,7.776292131080335,0.9968383931833749,1.1586481166071112,1.170313863207828,-0.7951202303881826,-0.3632058175223599,0.6563682047132069,,,,,,,,,,,,,,,,,,
19251,Pete Alonso,696.0,628.0,162.0,35.0,96.0,105.0,6.0,0.25796178343949044,HIT,2.8398829416251936,2.528682484669441,3.104651795103282,0.3508060965207962,0.15101517699006003,8.975038494908771,1.1909611404498077,1.5882217418776814,1.6955611647134197,-0.5145920556055003,0.053098183170979904,1.234507633177784,,,,,,,,,,,,,,,,,,
19290,Randy Arozarena,645.0,579.0,156.0,20.0,97.0,69.0,27.0,0.2694300518134715,HIT,2.8694650556004557,1.444961419811109,2.040199751067871,1.5786274343435829,0.5210919078186647,8.454345568641683,1.2394918272664155,-0.022679352886955856,-0.023430003850334596,1.4491051678732765,0.5829418875250518,0.983384359830624,,,,,,,,,,,,,,,,,,
19326,Bryan Reynolds,693.0,625.0,164.0,20.0,101.0,82.0,9.0,0.2624,HIT,2.9877935115015055,1.444961419811109,2.4245852114139916,0.5262091447811943,0.3085319366074806,7.692081224115282,1.4336145745328484,-0.022679352886955856,0.5973168070199102,-0.23406388082281787,0.27861699173448523,0.6157544042527225,,,,,,,,,,,,,,,,,,
19556,Yordan Alvarez,682.0,610.0,194.0,44.0,103.0,112.0,1.0,0.3180327868852459,HIT,3.0469577394520306,3.1789151235844395,3.3116285814435007,0.05846768275346603,2.2405973267496035,11.836566453983039,1.530675948166065,2.5547623987364627,2.029809447489705,-0.9821390135766376,3.044780325146834,2.614584510751008,,,,,,,,,,,,,,,,,,
19608,Otto Lopez,666.0,608.0,188.0,12.0,93.0,71.0,28.0,0.3092105263157895,HIT,2.7511365996994064,0.8669768518866654,2.099335975736505,1.637095117097049,1.9272937462452875,9.281838290664913,1.0453690799999833,-0.8818266034280955,0.0720695055143185,1.5426145594675038,2.596219483966354,1.382473094365944,,,,,,,,,,,,,,,,,,
19611,Vladimir Guerrero Jr.,646.0,582.0,154.0,13.0,82.0,69.0,9.0,0.2646048109965636,HIT,2.4257333459715196,0.9392249228772208,2.040199751067871,0.5262091447811943,0.36255720990046725,6.293924374598273,0.5115315250172932,-0.774433197110453,-0.023430003850334596,-0.23406388082281787,0.3559656833590726,-0.05855804938595599,,,,,,,,,,,,,,,,,,
19612,Bo Bichette,687.0,626.0,167.0,15.0,77.0,81.0,2.0,0.26677316293929715,HIT,2.2778227760952072,1.0837210648583318,2.3950170990796744,0.11693536550693207,0.46506975578245646,6.338566061322602,0.26887809093425197,-0.559646384475168,0.5495670523375832,-0.8886296219824101,0.5027342384402494,-0.03702795759400105,,,,,,,,,,,,,,,,,,
19627,Brent Rooker,203.0,185.0,37.0,10.0,20.0,29.0,2.0,0.2,HIT,0.5916422795052486,0.7224807099055545,0.8574752576951922,0.11693536550693207,-0.6000442127170736,1.6884893998958534,-2.4973710576124146,-1.0966134160633805,-1.9334201911433944,-0.8886296219824101,-1.0222033856181099,-2.279698087385101,,,,,,,,,,,,,,,,,,
19709,Fernando Tatis Jr.,698.0,630.0,175.0,18.0,91.0,76.0,33.0,0.2777777777777778,HIT,2.6919723717488813,1.300465277829998,2.2471765374080896,1.929433530864379,0.8628742754073868,9.031921993258736,0.9483077063667665,-0.23746616552224067,0.3108182789259509,2.0101615174386414,1.0722761813096109,1.2619417879059656,,,,,,,,,,,,,,,,,,
19755,Shohei Ohtani,676.0,605.0,174.0,37.0,106.0,102.0,12.0,0.28760330578512394,HIT,3.135704081377818,2.6731786266505515,3.015947458100331,0.7016121930415924,1.1711875621644539,10.697629921334746,1.6762680086158894,1.803008554512966,1.5523119006664403,0.046464293959864525,1.5136923535482278,2.0652905684196425,,,,,,,,,,,,,,,,,,
19918,Daulton Varsho,543.0,494.0,116.0,13.0,59.0,45.0,13.0,0.23481781376518218,HIT,1.7453447245404834,0.9392249228772208,1.3305650550442636,0.7600798757950584,-0.5419842356497894,4.233230342607237,-0.6046742717646955,-0.774433197110453,-1.1694241162261707,0.13997368555409198,-0.9390781557362838,-1.0524033746729404,,,,,,,,,,,,,,,,,,
19956,Mickey Moniak,435.0,397.0,107.0,26.0,57.0,73.0,3.0,0.2695214105793451,HIT,1.6861804965899587,1.8784498457544416,2.158472200405139,0.1754030482603981,0.36839727495972674,6.266902865969663,-0.7017356453979116,0.621681085018899,0.16756901487897158,-0.7951202303881826,0.3643269810222319,-0.07159016362311832,,,,,,,,,,,,,,,,,,
20036,Isaac Paredes,652.0,585.0,148.0,21.0,62.0,84.0,0.0,0.252991452991453,HIT,1.8340910664662708,1.5172094908016645,2.4837214360826256,0.0,-0.0251236794592226,5.809898313891337,-0.45908221131487065,0.08471405343068672,0.6928163163845632,-1.075648405170865,-0.1990821254175127,-0.2919973811269597,,,,,,,,,,,,,,,,,,
20123,Juan Soto,455.0,404.0,114.0,26.0,61.0,66.0,10.0,0.28217821782178215,HIT,1.8045089524910083,1.8784498457544416,1.95149541406492,0.5846768275346603,0.6746193847435603,6.893750424588591,-0.507612898131479,0.621681085018899,-0.16667926789731388,-0.1405544892285904,0.8027491877892096,0.23073007709648513,,,,,,,,,,,,,,,,,,
20178,Miguel Vargas,692.0,621.0,147.0,32.0,105.0,89.0,15.0,0.23671497584541062,HIT,3.1061219674025553,2.3119382716977745,2.6315619977542104,0.8770152413019905,-0.6032822726158154,8.323355205540715,1.627737321799281,1.266041522924754,0.9315650897961956,0.3269924687425469,-1.0268393584009115,0.9202094498223882,,,,,,,,,,,,,,,,,,
20202,Brandon Marsh,590.0,537.0,146.0,20.0,79.0,67.0,13.0,0.2718808193668529,HIT,2.3369870040457323,1.444961419811109,1.981063526399237,0.7600798757950584,0.561915987303155,7.085007813354291,0.36593946456746873,-0.022679352886955856,-0.11892951321498733,0.13997368555409198,0.6413902570090688,0.3229709720573597,,,,,,,,,,,,,,,,,,
