team,fg_id,roster_name,roster_role,il,salary,contract,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,PA,AB,H,HR,R,RBI,SB,IP,W,SV,K,ER,BB,name,w_2026,pt_scale,AVG,ERA,WHIP,role,rp_above_repl,redraft_value,keep_value,roto_points_ft,redraft_value_ft,upside_ft,roto_points_2028,redraft_value_2028,keeper_cost,keeper_status,years_controlled,surplus_keep,surplus_redraft,extension_used,keepable,surplus_y2027,surplus_y2028,surplus_y2029,extension_option,extension_years,surplus_multiyear,keep_2027,cash_equiv,surplus_vs_cash,keep_naive,keep_infl
All-Stars,27555,Garrett Mitchell,HIT,False,10,2,1.4420464384340814,0.5928821061764874,1.325647787143257,0.7576370389651316,-0.3077912374570548,0.0,0.0,0.0,0.0,0.0,3.810422133261903,380.5,338.79107849494545,80.75735079968709,8.206199806414087,48.747240972702954,44.83369692845425,12.95821902434158,0.0,0.0,0.0,0.0,0.0,0.0,Garrett Mitchell,0.5,1.5768725361366622,0.2383691777199261,,,HIT,-0.9671297044362053,0.0,0.0,6.020206896549662,8.81582175581445,8.81582175581445,2.228515644567307,0.0,10.0,keepable x2yr,2,-10.0,-10.0,False,True,-10.0,0.0,0.0,0.0,0,-10.0,False,6.996167938353946,-6.996167938353946,False,False
All-Stars,17901,Andrew Benintendi,HIT,False,10,2,1.6013297879666253,1.0763079056263285,1.7871344448943585,0.1776406398408608,-0.09573822690588614,0.0,0.0,0.0,0.0,0.0,4.546674551422287,476.5,430.96271165887646,107.71040182759647,14.897392980457953,54.13168880715258,60.441276219726646,3.0382705705970543,0.0,0.0,0.0,0.0,0.0,0.0,Andrew Benintendi,0.5,1.2591815320041972,0.249929747780252,,,HIT,-0.23087728627582127,0.0,5.205409971659919,5.726536730935423,6.968749510711561,6.968749510711561,3.5910363135855556,0.0,10.0,keepable x2yr,2,-4.794590028340081,-10.0,False,True,-10.0,0.0,0.0,0.0,0,-10.0,False,6.996167938353946,-6.996167938353946,False,False
All-Stars,35111,Kaelen Culpepper,HIT,False,10,2,1.440207279697044,0.8153998084335111,1.4085436120567123,0.4507092112448723,-0.1747572274218089,0.0,0.0,0.0,0.0,0.0,3.9401026840103306,382.71638141809296,346.3563200329301,84.92149531195518,11.286111826295036,48.68506966410156,47.637251784313136,7.708689484844578,0.0,0.0,0.0,0.0,0.0,0.0,Kaelen Culpepper,0.38875305623471884,1.5677405753492917,0.24518534930698307,,,HIT,-0.8374491536877775,0.0,0.0,6.183394554049872,9.842209275573383,9.842209275573383,5.745967843174512,7.090963723494231,10.0,keepable x2yr,2,-10.0,-10.0,False,True,-10.0,0.0,0.0,0.0,0,-10.0,False,6.996167938353946,-6.996167938353946,False,False
All-Stars,30076,Landen Roupp,PIT,False,10,2,0.0,0.0,0.0,0.0,0.0,2.141694039999434,0.0,2.417825165016576,-0.40251619305044317,-1.1426935474439812,3.0143094645215855,0.0,0.0,119.07641757634406,0.0,0.0,0.0,0.0,131.45,7.859965476402696,0.0,127.07716882798834,55.43798446340279,52.85143033544086,Landen Roupp,0.5,1.1411182959300115,,3.795677901640359,1.307933418880068,PIT,-1.7632423731765225,0.0,0.0,3.4628515282669,0.0,0.0,2.222718737357941,0.0,10.0,keepable x2yr,2,-10.0,-10.0,False,True,-10.0,0.0,0.0,0.0,0,-10.0,False,6.996167938353946,-6.996167938353946,False,False
All-Stars,14771,Emilio Pagán,PIT,False,10,1,0.0,0.0,0.0,0.0,0.0,0.5918721315306651,2.1595250701579145,0.950131314860624,-0.736917526037924,-0.11674635928911418,2.8478646312221656,0.0,0.0,42.67134886749563,0.0,0.0,0.0,0.0,48.946625766871165,2.1721564487694667,14.195776139015452,49.93743933775058,24.26387308836126,16.602970921856926,Emilio Pagán,0.3865030674846626,1.7610872244801314,,4.461489517895538,1.210999100768894,PIT,-1.9296872064759425,0.0,0.0,5.057275958686874,2.759356995231319,2.759356995231319,1.1900813859979915,0.0,10.0,keepable x1yr,1,-10.0,-10.0,False,True,-10.0,0.0,0.0,0.0,0,-10.0,False,6.996167938353946,-6.996167938353946,False,False
All-Stars,33927,Grant Taylor,PIT,False,10,2,0.0,0.0,0.0,0.0,0.0,1.28975002399281,1.2670108575699404,1.5557747377772313,0.2673734116381985,0.023027766419638412,4.402936797397818,0.0,0.0,59.80868976957221,0.0,0.0,0.0,0.0,70.55,4.733351483658101,8.328776890952986,81.76912535753226,26.581075134578402,22.8705121979932,Grant Taylor,0.5,2.0,,3.3909238300666993,1.1719234864289922,PIT,-0.3746150403002897,0.0,3.886988259511405,8.777538771725375,26.158377362449155,26.158377362449155,3.41285562285294,0.0,10.0,keepable x2yr,2,-6.113011740488595,-10.0,False,True,-10.0,0.0,0.0,0.0,0,-10.0,False,6.996167938353946,-6.996167938353946,False,False
All-Stars,9132,Nathan Eovaldi,PIT,True,5,F,0.0,0.0,0.0,0.0,0.0,1.8282261352724922,0.0,2.207479994375867,-1.401098749853281,-0.5059961653008701,2.128611214494208,0.0,0.0,118.62187437367974,0.0,0.0,0.0,0.0,124.25,6.70954582583734,0.0,116.0217504510032,59.1855342628525,35.157810708115186,Nathan Eovaldi,0.5,1.2072434607645874,,4.287080952641227,1.2376634614228967,PIT,-2.6489406232039,0.0,0.0,2.6117083809821455,0.0,0.0,-0.11155970102413115,0.0,10.0,extension +$5,1,-10.0,-10.0,False,True,-10.0,0.0,0.0,0.0,1,-10.0,False,6.996167938353946,-6.996167938353946,False,False
All-Stars,11477,Christian Yelich,HIT,False,18,2,1.9722178448656402,0.9914704398409904,1.8060755241510658,0.7897759489791832,-0.34713525592463684,0.0,0.0,0.0,0.0,0.0,5.212404501912243,502.0,446.0756762763525,107.235021660979,13.723140649258294,66.66926665602315,61.081867646143955,13.50790576581153,0.0,0.0,0.0,0.0,0.0,0.0,Christian Yelich,0.5,1.1952191235059761,0.24039647836468186,,,HIT,0.4348526642141346,3.7350557898824905,11.311758488863688,6.234434638381268,10.163231749746233,6.428175959863742,4.236353438261072,0.0,18.0,keepable x2yr,2,-6.688241511136312,-14.264944210117509,False,True,-14.264944210117509,0.0,0.0,0.0,0,-14.264944210117509,False,12.593102289037104,-8.858046499154613,False,False
All-Stars,12564,Trevor Story,HIT,True,15,2,1.3166645818482294,0.7455775061021452,1.4513748672756015,0.6523238353965654,-0.22562447275913122,0.0,0.0,0.0,0.0,0.0,3.9403163178634104,385.0,355.09278840089337,86.27402151277047,10.31968737545408,44.5088063330859,49.085814165793906,11.15699827111576,0.0,0.0,0.0,0.0,0.0,0.0,Trevor Story,0.5,1.5584415584415585,0.242961908354412,,,HIT,-0.8372355198346977,0.0,0.0,6.149145038087837,9.626793010154095,9.626793010154095,4.510024239324235,0.0,15.0,keepable x2yr,2,-15.0,-15.0,False,True,-15.0,0.0,0.0,0.0,0,-15.0,False,10.49425190753092,-10.49425190753092,False,False
All-Stars,15454,Nick Pivetta,PIT,True,18,2,0.0,0.0,0.0,0.0,0.0,1.6210882648562868,0.0,2.15968789069174,-0.9160826280712786,-0.03741952375030959,2.827274003726438,0.0,0.0,89.83538850881689,0.0,0.0,0.0,0.0,102.42056074766356,5.949354836872652,0.0,113.5098710494705,47.09517805478065,31.207342489170216,Nick Pivetta,0.34579439252336447,1.4645496851902544,,4.1383936916464785,1.181820623851138,PIT,-1.9502778339716702,0.0,0.0,4.187876058395014,0.0,0.0,1.810829392501436,0.0,18.0,keepable x2yr,2,-18.0,-18.0,False,True,-18.0,0.0,0.0,0.0,0,-18.0,False,12.593102289037104,-12.593102289037104,False,False
Lisbon Long Balls,25976,Riley Greene,HIT,False,3,F,2.544841471046333,1.9314918856087153,2.807070345842887,0.20405401421523336,0.4359141036430394,0.0,0.0,0.0,0.0,0.0,7.923371820356208,647.5,582.9510418456574,155.52162855864017,26.734165481888194,86.02635610066325,94.93573056352943,3.4900308102793214,0.0,0.0,0.0,0.0,0.0,0.0,Riley Greene,0.5,1.0,0.2667833443890065,,,HIT,3.1458199826581,20.785996190333115,36.17786411169903,7.923371820356208,20.785996190333115,0.0,8.03488906150582,21.487396690268366,8.0,extension +$5,1,28.17786411169903,12.785996190333115,False,True,12.785996190333115,0.0,0.0,2.214287186728111,2,15.000283377061226,True,5.596934350683157,15.189061839649959,True,True
