season,category,n_dropped_punters,min,max,mean,n_teams,range,trimmed,median_gap,sd,slope,iqr
2022,R,0,711.0,928.0,855.3,10,24.11111111111111,16.428571428571427,14.0,23.330790033772967,23.791025276909956,24.147887323943664
2023,R,0,828.0,1079.0,944.4,10,27.88888888888889,30.428571428571427,15.0,29.57556380527681,29.212847222222223,25.478873239436624
2024,R,0,651.0,1210.0,1057.2,10,62.111111111111114,15.857142857142858,15.0,51.484550707955094,67.40237937871782,7.288732394366197
2025,R,0,962.0,1184.0,1096.4,10,24.666666666666668,23.571428571428573,17.0,23.505130299575026,23.763219675796613,14.830985915492956
2026,R,0,785.0,932.0,831.2,10,16.333333333333332,11.285714285714286,9.0,15.425678643093793,16.160282436010576,12.549295774647888
2022,RBI,0,729.0,988.0,820.4,10,28.77777777777778,18.285714285714285,13.0,27.727649853530682,28.427871215761677,27.950704225352112
2023,RBI,0,713.0,998.0,908.3,10,31.666666666666668,21.428571428571427,19.0,29.09482351896983,31.098639293387382,19.838028169014084
2024,RBI,0,648.0,1162.0,1018.6,10,57.111111111111114,33.714285714285715,31.0,52.22225401493121,57.824855332047306,32.51408450704225
2025,RBI,0,927.0,1135.0,1052.4,10,23.11111111111111,9.714285714285714,12.0,18.95912884074582,20.01331403762662,13.499999999999998
2026,RBI,0,720.0,856.0,781.2,10,15.11111111111111,17.571428571428573,10.0,17.190050889977027,17.0191616766467,17.873239436619716
2022,SB,0,60.0,141.0,101.3,10,9.0,10.571428571428571,10.0,10.321943014762288,10.077566072526116,12.359154929577464
2023,SB,0,95.0,270.0,157.0,10,19.444444444444443,12.714285714285714,11.0,17.407318460923264,17.921598770176786,12.549295774647888
2024,SB,0,92.0,263.0,188.8,10,19.0,21.0,14.0,22.020480321736855,21.756034985422747,28.077464788732396
2025,SB,0,73.0,269.0,191.6,10,21.77777777777778,16.571428571428573,17.0,19.698724994273107,20.012332439678293,14.070422535211266
2026,SB,0,110.0,163.0,127.9,10,5.888888888888889,3.7142857142857144,3.0,5.5485335359894865,5.813251533742329,5.133802816901408
2022,SV,2,15.0,74.0,57.375,8,8.428571428571429,6.2,4.0,8.3094298046819,9.564238952536828,5.276130467012601
2023,SV,2,16.0,86.0,62.25,8,10.0,5.6,7.0,8.800589364954709,9.962006079027358,4.1455310812241875
2024,SV,2,37.0,102.0,79.25,8,9.285714285714286,4.8,5.0,8.179913103300732,9.0753205128205,5.42687705178439
2025,SV,1,57.0,98.0,75.22222222222223,9,5.125,5.0,5.0,4.934894921943628,4.977308294209701,3.3024462564862866
2026,SV,1,32.0,86.0,50.44444444444444,9,6.75,4.333333333333333,5.0,6.139983172564483,6.474030243261013,5.22887323943662
2022,W,0,48.0,98.0,72.5,10,5.555555555555555,6.285714285714286,3.0,5.718779065499908,5.598442714126807,4.5
2023,W,0,62.0,92.0,74.3,10,3.3333333333333335,1.8571428571428572,2.0,2.7786549983760125,2.876997578692494,1.7746478873239435
2024,W,0,71.0,104.0,90.8,10,3.6666666666666665,2.857142857142857,2.0,3.5461147189565083,3.544322344322353,3.7394366197183095
2025,W,0,61.0,108.0,84.4,10,5.222222222222222,2.142857142857143,2.0,4.148722984244669,4.328104575163404,2.661971830985915
2026,W,0,46.0,74.0,64.6,10,3.111111111111111,1.7142857142857142,2.0,2.6745090016674085,2.8816753926701604,1.4577464788732393
2022,WHIP,0,1.0639,1.384,1.2152900000000002,10,0.03556666666666665,0.02635714285714284,0.009500000000000064,0.030969544952485155,0.03344463734620344,0.0077007042253521224
2023,WHIP,0,1.2007,1.3445,1.27312,10,0.01597777777777777,0.014599999999999978,0.010599999999999943,0.016314055626238368,0.015998168893055328,0.017442253521126754
2024,WHIP,0,1.1225,1.2267,1.17231,10,0.011577777777777762,0.008785714285714301,0.005400000000000071,0.011090008241836431,0.011222708568040331,0.011167605633802853
2025,WHIP,0,1.1358,1.2475,1.1793900000000002,10,0.012411111111111126,0.007728571428571434,0.007400000000000073,0.011144191850645796,0.011441184076623808,0.009278873239436667
2026,WHIP,0,1.1482,1.3106,1.19725,10,0.018044444444444432,0.014357142857142862,0.009500000000000064,0.017308160517513112,0.01905602860331497,0.008163380281690086
