season,team,player,salary,pos,fg_id,match,match_conf,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,name,role,played
2022,Moben,Collin McHugh,5,P,7531,exact,1.0,0.0,0.0,0.0,0.0,0.0,1.0239219504310912,0.0,1.7058394603094849,1.6517357435697344,1.5228519038218662,5.904349058132177,Collin McHugh,PIT,True
2022,Moben,Mitch Keller,4,P,17594,exact,1.0,0.0,0.0,0.0,0.0,0.0,1.7065365840518185,0.0,3.138744606969452,-0.26005717170365344,-2.13631647954748,2.448907539770137,Mitch Keller,PIT,True
2022,Moben,Brian Anderson,1,3B,18289,exact,1.0,1.580929816806681,0.7810214481910583,1.034631257350634,0.10809445628747802,-0.6737340082235505,0.0,0.0,0.0,0.0,0.0,2.8309429704123006,Brian Anderson,HIT,True
2022,Moben,Edwin Rios,1,CI,18316,exact,1.0,0.4411897163181435,0.683393767167176,0.6281689776771706,0.0,0.01632792561894999,0.0,0.0,0.0,0.0,0.0,1.7690803867814402,Edwin Rios,HIT,True
2022,Moben,Merrill Kelly,1,P,11156,exact,1.0,0.0,0.0,0.0,0.0,0.0,4.436995118534728,0.0,4.025781126330384,1.564664951950871,1.0899955534405639,11.117436750256546,Merrill Kelly,PIT,True
2022,Micks,Joe Musgrove,31,P,12970,exact,1.0,0.0,0.0,0.0,0.0,0.0,3.413073168103637,0.0,4.184992809292603,2.8644153381261583,1.7478412148004112,12.210322530322811,Joe Musgrove,PIT,True
2022,Micks,Kyle Schwarber,30,OF,16478,exact,1.0,3.676580969317863,4.490873327098586,3.473404935391414,1.0809445628747802,-1.2217416100636371,0.0,0.0,0.0,0.0,0.0,11.500062184619006,Kyle Schwarber,HIT,True
2022,Micks,Carlos Carrasco,11,P,6632,exact,1.0,0.0,0.0,0.0,0.0,0.0,5.119609752155456,0.0,3.457167972893889,-0.4216222341525333,-1.2903743041172502,6.864781186779561,Carlos Carrasco,PIT,True
2022,Micks,Hunter Greene,13,P,22182,exact,1.0,0.0,0.0,0.0,0.0,0.0,1.7065365840518185,0.0,3.707357760405947,-1.507393149262798,0.0881919821745941,3.9946931773695615,Hunter Greene,PIT,True
2022,Micks,Joc Pederson,8,OF,11899,exact,1.0,2.0956511525111816,2.245436663549293,2.586578143376585,0.3242833688624341,0.7522615101969552,0.0,0.0,0.0,0.0,0.0,8.004210838496448,Joc Pederson,HIT,True
2022,Micks,Hunter Renfroe,21,OF,15464,exact,1.0,2.279480200977075,2.8312027496925865,2.6604803760444873,0.10809445628747802,0.2453655465316458,0.0,0.0,0.0,0.0,0.0,8.124623329533273,Hunter Renfroe,HIT,True
2022,Micks,Ranger Suarez,15,P,17277,exact,1.0,0.0,0.0,0.0,0.0,0.0,3.413073168103637,0.0,2.934043871732314,0.45578980531513136,-1.3788692472226916,5.42403759792839,Ranger Suarez,PIT,True
2022,Micks,Jorge Soler,18,U,14221,exact,1.0,1.1765059101817161,1.2691598533104698,1.2563379553543412,0.0,-0.7861817559182944,0.0,0.0,0.0,0.0,0.0,2.9158219629282325,Jorge Soler,HIT,True
2022,Micks,Robert Suarez,16,P,30115,exact,1.0,0.0,0.0,0.0,0.0,0.0,1.7065365840518185,0.20478437084221862,1.3646715682475878,1.4518779255121688,0.6026136467293793,5.330484095383173,Robert Suarez,PIT,True
2022,Micks,Jeff McNeil,14,2B,15362,exact,1.0,2.68390410760204,0.8786491292149406,2.2909692127049754,0.4323778251499121,2.963074961060106,0.0,0.0,0.0,0.0,0.0,9.248975235731972,Jeff McNeil,HIT,True
2022,Micks,J.D. Davis,4,3B,16219,exact,1.0,1.6912272458862168,1.1715321722865877,1.2932890716882925,0.10809445628747802,-0.010365291860243833,0.0,0.0,0.0,0.0,0.0,4.253777654288331,J.D. Davis,HIT,True
