team,fg_id,roster_name,roster_role,il,salary,contract,rp_R,rp_HR,rp_RBI,rp_SB,rp_AVG,rp_W,rp_SV,rp_K,rp_ERA,rp_WHIP,roto_points,PA,AB,H,HR,R,RBI,SB,IP,W,SV,K,ER,BB,name,w_2026,pt_scale,pt_scale_kind,AVG,ERA,WHIP,role,pt_extrapolated,reliever,SV_2026,rp_above_repl,redraft_value,keep_value,roto_points_ft,redraft_value_ft,upside_ft,upside_kind,roto_points_2028,redraft_value_2028,keeper_cost,keeper_status,years_controlled,surplus_keep,surplus_redraft,extension_used,keepable,surplus_y2027,surplus_y2028,surplus_y2029,extension_option,extension_years,surplus_multiyear,keep_2027,value_lo,value_hi,surplus_lo,surplus_hi,p_surplus_positive
Lisbon Long Balls,29576,Ben Rice,HIT,False,10,1,2.3152710228782687,2.1810399812728045,2.432350050708232,0.20099987402561098,-0.1676445777667829,0.0,0.0,0.0,0.0,0.0,6.962016351118133,548.6999999999999,486.55294610953104,120.56723722296981,30.188210582922256,78.26590840716715,82.26260855635442,3.437794428644352,0.0,0.0,0.0,0.0,0.0,0.0,Ben Rice,0.5,1.0934937124111537,health,0.2477988021386436,,,HIT,,,,2.150959528789272,15.111742984562511,27.359916924904674,7.61389669368949,19.388517013980707,4.2767740294181955,health,5.926704383231586,8.319399286733725,10.0,keepable x1yr,1,17.359916924904674,5.111742984562511,False,True,5.111742984562511,0.0,0.0,0.0,0,5.111742984562511,True,12.332714249592433,17.8721804145221,2.332714249592433,7.8721804145220995,0.988
Lisbon Long Balls,37120,Munetaka Murakami,HIT,False,10,2,2.1188872380048775,2.0399830853193364,2.156460592638405,0.32220150965790667,-0.40614636609691757,0.0,0.0,0.0,0.0,0.0,6.231386059523608,517.0999999999999,445.54064121924745,106.0886413350813,28.23581387503081,71.62730965666493,72.93196698713841,5.510762432923788,0.0,0.0,0.0,0.0,0.0,0.0,Munetaka Murakami,0.5,1.1603171533552505,health,0.23811215301204325,,,HIT,,,,1.4203292371947471,10.318316258620607,20.65827582490778,7.234581506212638,16.89995394983628,6.581637691215674,health,5.86758959718883,7.931566481858805,10.0,keepable x2yr,2,10.65827582490778,0.318316258620607,False,True,0.318316258620607,0.0,0.0,0.0,0,0.318316258620607,True,7.989212961714782,12.747880447299933,-2.0107870382852178,2.747880447299932,0.61
McBlocks,33677,Paul Skenes,PIT,False,15,1,0.0,0.0,0.0,0.0,0.0,3.5065456825600125,0.0,4.061972840514468,2.1710735274726916,1.4657836841747383,11.20537573472191,0.0,0.0,147.15776686535335,0.0,0.0,0.0,0.0,184.08499999999998,12.868938089008225,0.0,213.49103975647535,58.79008567511645,46.32138852049319,Paul Skenes,0.5,1.0,health,,2.8742742269932267,1.0510316179256678,PIT,,,,6.394318912393049,42.95103805779613,66.28175191364394,11.20537573472191,42.95103805779613,0.0,health,11.211287402747189,42.989822581012966,15.0,keepable x1yr,1,51.281751913643944,27.951038057796133,False,True,27.951038057796133,0.0,0.0,28.288996008642886,2,56.24003406643902,True,27.969057352813387,50.754078326628864,19.764223606467407,76.3244351461318,0.999
McBlocks,24262,Ceddanne Rafaela,HIT,False,1,1,2.515645507655566,1.37143208629238,2.378449399673321,1.2023263469432433,0.5253459976048973,0.0,0.0,0.0,0.0,0.0,7.993199338169407,605.5,557.7065993247459,150.6452390302492,18.98226578909849,85.03940961620371,80.43967679711751,20.56394730081838,0.0,0.0,0.0,0.0,0.0,0.0,Ceddanne Rafaela,0.5,1.0,health,0.27011557548834075,,,HIT,,,,3.182142515840546,21.876997787618667,36.81835078282572,7.993199338169407,21.876997787618667,0.0,health,7.548908545018249,18.962150995087125,1.0,keepable x1yr,1,35.81835078282572,20.876997787618667,False,True,20.876997787618667,0.0,0.0,12.520482439774504,2,33.397480227393174,True,19.05646815851112,23.969422043018522,26.99627771731519,38.34184378039545,1.0
McBlocks,31505,Sal Stewart,HIT,False,14,2,2.4653930527872028,1.829228293181026,2.769983325361201,0.7834087380978237,0.2871671539228983,0.0,0.0,0.0,0.0,0.0,8.13518056335015,598.0,538.645281305768,141.654817146069,25.318714646653333,83.34066506703503,93.68143945213363,13.399004393608918,0.0,0.0,0.0,0.0,0.0,0.0,Sal Stewart,0.5,1.0033444816053512,health,0.2629834922208426,,,HIT,,,,3.32412374102129,22.808490236252386,38.1206608910237,8.162317275491299,22.986525342007024,0.17803510575463832,health,8.004803643527975,21.953129845215617,14.0,keepable x2yr,2,24.120660891023697,8.808490236252386,False,True,8.808490236252386,6.760160368433274,0.0,0.0,0,15.56865060468566,True,19.629628312864767,25.305987794499217,9.789087246652551,20.10940944300544,0.999
McBlocks,29715,Hunter Goodman,HIT,False,10,1,2.3071830675159584,2.456719066792744,2.7230495851178174,0.2021992281114525,0.023696984813195737,0.0,0.0,0.0,0.0,0.0,7.712847932351168,597.9,546.6439190088696,139.11590100506933,34.00393994067878,77.99250146373255,92.09413013347579,3.4583075399796974,0.0,0.0,0.0,0.0,0.0,0.0,Hunter Goodman,0.5,1.0035122930255895,health,0.254490896482125,,,HIT,,,,2.901791110022307,20.037703774265168,34.246852550014836,7.739927738263051,20.215365536834657,0.17766176256948896,health,7.1025565743336445,16.033781489920482,10.0,keepable x1yr,1,24.246852550014836,10.037703774265168,False,True,10.037703774265168,0.0,0.0,0.8787142664324099,1,10.916418040697579,True,16.784570744703164,23.077669932135077,6.784570744703165,16.024027807434678,1.0
McBlocks,17722,Trevor Megill,PIT,False,1,2,0.0,0.0,0.0,0.0,0.0,1.4666769547728071,2.6553662993734557,1.2373756191202097,0.45755327315524086,0.21513362544618866,6.032105771867902,0.0,0.0,42.57946997548706,0.0,0.0,0.0,0.0,53.64,5.382669052743289,17.45522016571682,65.03455780414026,18.611279735899426,17.4726710502459,Trevor Megill,0.4700984102952309,1.4322363031032754,health,,3.1226979422650043,1.1195402875789142,PIT,,,,1.2210489495390409,9.010903374441456,18.83039518330711,8.6231284548087,26.009756992767382,16.998853618325924,role,4.0984757990958816,0.0,1.0,keepable x2yr,2,17.83039518330711,8.010903374441456,False,True,8.010903374441456,0.0,0.0,0.0,0,8.010903374441456,True,0.2320954416422775,16.14250426816179,-0.7679045583577225,15.14250426816179,0.876
McBlocks,21636,Jeremy Peña,HIT,False,10,1,2.171671377168949,1.2612897584971858,1.8506400707223802,0.7923634310962279,0.5241712436378455,0.0,0.0,0.0,0.0,0.0,6.600135881122589,555.9,507.41687492044633,137.80317938647994,17.45776380191613,73.41163579401304,62.589050318728454,13.552160677160677,0.0,0.0,0.0,0.0,0.0,0.0,Jeremy Peña,0.5,1.0793308148947653,health,0.27157784101698423,,,HIT,,,,1.7890790587937282,12.737563407792749,24.0406006319604,7.1206847194527,16.152714329559245,3.4151509217664966,health,5.834276500519512,7.713010134365876,10.0,keepable x1yr,1,14.040600631960402,2.7375634077927486,False,True,2.7375634077927486,0.0,0.0,0.0,0,2.7375634077927486,True,10.681498637064053,14.368339673430155,0.6814986370640518,4.368339673430154,0.955
McBlocks,17130,Raisel Iglesias,PIT,False,3,2,0.0,0.0,0.0,0.0,0.0,1.0907747167387887,3.250375774432105,1.1269518692527842,-0.06282699784335292,0.05697377018276933,5.462249132763095,0.0,0.0,49.93625193984412,0.0,0.0,0.0,0.0,55.7,4.003116904645293,21.366552997758465,59.2308554903602,22.72960449790417,14.798998317791051,Raisel Iglesias,0.46236559139784955,1.170053026457881,health,,3.6726470463399914,1.1622127514835758,PIT,,,,0.6511923104342339,5.272260075271568,13.603436052723632,6.391302954231166,11.367478777393172,6.095218702121604,role,3.33647008090717,0.0,3.0,keepable x2yr,2,10.603436052723632,2.272260075271568,False,True,2.272260075271568,0.0,0.0,0.0,0,2.272260075271568,True,0.0,13.110378189834174,-3.0,10.110378189834174,0.597
NPB No Stars,35110,Nick Kurtz,HIT,True,10,1,2.5640130692933045,2.12328457379259,2.8605215401611543,0.3167535713598907,0.24627728567118307,0.0,0.0,0.0,0.0,0.0,8.110850040278123,558.5999999999999,496.9918089816571,130.35197915821257,29.388806437062577,86.67443683833478,96.74346159870382,5.417583807716634,0.0,0.0,0.0,0.0,0.0,0.0,Nick Kurtz,0.5,1.0741138560687435,health,0.2622819467091531,,,HIT,,,,3.2997932179492624,22.648865620504417,37.89749134100672,8.71062466790739,26.583791071440277,3.934925450935861,health,9.666237407473568,32.8532541613024,10.0,keepable x1yr,1,27.89749134100672,12.648865620504417,False,True,12.648865620504417,0.0,0.0,20.211742168648026,2,32.86060778915244,True,19.31988313187297,25.711600680229242,21.938263324108167,42.90939820536001,1.0
