decision_season,fg_id,buy_season,keeper_salary,years_control_left,kept,rp_prior,PA_prior,IP_prior,SV_prior,role,pos_group,birth_year,played_prior,age,is_pit
2024,16376,2023,18,2,0,5.0073101004928855,470.0,0.0,0.0,HIT,OF,1993.0,1,31.0,0
2024,8700,2023,30,2,0,11.500377808649688,0.0,162.33333333333331,0.0,PIT,SP,1983.0,1,41.0,1
2024,15873,2022,19,1,1,4.975428160956014,0.0,117.66666666666667,1.0,PIT,SP,1992.0,1,32.0,1
2024,9218,2022,36,1,0,9.160227349757106,687.0,0.0,0.0,HIT,CI,1987.0,1,37.0,0
2024,14854,2022,13,1,1,4.195772801635617,381.0,0.0,0.0,HIT,OF,1990.0,1,34.0,0
2024,12304,2022,20,1,0,12.390582597606516,0.0,200.0,0.0,PIT,SP,1989.0,1,35.0,1
2024,3096,2022,29,1,0,8.059344695824516,0.0,44.66666666666668,29.0,PIT,UNKNOWN,1987.0,1,37.0,1
2024,16939,2022,1,1,1,10.018235553653835,682.0,1.0,0.0,HIT,OF,1995.0,1,29.0,0
2024,10310,2022,29,1,1,13.121686119949707,0.0,192.0,0.0,PIT,UNKNOWN,1990.0,1,34.0,1
2024,17479,2022,15,1,1,0.5900816285728077,0.0,144.33333333333331,0.0,PIT,UNKNOWN,1995.0,1,29.0,1
2024,16478,2022,30,1,1,8.732815465651807,720.0,0.0,0.0,HIT,UTIL,1993.0,1,31.0,0
2024,13419,2022,1,1,1,10.052101541902928,661.0,0.0,0.0,HIT,CI,1991.0,1,33.0,0
2024,5235,2022,20,1,0,9.12929866085557,626.0,0.0,0.0,HIT,UTIL,1984.0,1,40.0,0
2024,12916,2022,28,1,0,11.72466440509162,687.0,0.0,0.0,HIT,MI,1993.0,1,31.0,0
2024,12927,2022,10,1,1,8.309723934953974,682.0,0.0,0.0,HIT,UNKNOWN,1993.0,1,31.0,0
2024,22182,2022,13,1,1,2.0823303131778688,0.0,112.0,0.0,PIT,UNKNOWN,1999.0,1,25.0,1
2024,21711,2022,8,1,1,0.6531773487254978,40.0,0.0,0.0,HIT,UNKNOWN,1998.0,1,26.0,0
2024,16137,2022,26,1,0,-1.6922901138238533,0.0,64.33333333333331,0.0,PIT,UNKNOWN,1992.0,1,32.0,1
2024,26378,2022,6,1,1,-0.9841376717679271,0.0,34.333333333333336,0.0,PIT,SP,1998.0,1,26.0,1
2024,13074,2022,26,1,0,4.4561248238960065,0.0,136.33333333333331,0.0,PIT,SP,1986.0,1,38.0,1
2024,10231,2022,1,1,1,0.0,0.0,0.0,0.0,HIT,MI,1990.0,0,34.0,0
2024,19291,2022,15,1,1,14.84077201195741,0.0,210.0,0.0,PIT,SP,1995.0,1,29.0,1
2024,13774,2022,5,1,0,14.273946457546522,0.0,177.66666666666663,0.0,PIT,SP,1994.0,1,30.0,1
2024,11739,2022,18,1,1,7.23675965507849,540.0,0.0,0.0,HIT,C,1991.0,1,33.0,0
2024,18401,2022,40,1,1,20.69180659021709,735.0,0.0,0.0,HIT,OF,1997.0,1,27.0,0
2024,17919,2022,7,1,1,8.228772033749062,691.0,0.0,0.0,HIT,UNKNOWN,1994.0,1,30.0,0
2025,24064,2024,3,2,1,7.5951489926995714,695.0,0.0,0.0,HIT,UNKNOWN,2001.0,1,24.0,0
2025,9218,2024,18,2,0,6.004771170678836,654.0,0.0,0.0,HIT,CI,1987.0,1,38.0,0
2025,17929,2024,7,2,0,6.324460997869627,499.0,0.0,0.0,HIT,OF,1994.0,1,31.0,0
2025,19470,2024,7,2,0,1.8472895196006343,153.0,0.0,0.0,HIT,OF,1995.0,1,30.0,0
